;“емпература утром,температура днем,температура вечером,температура ночью,влажность утром,влажность днем,влажность вечером,влажность ночью,давление утром,давление днем,давление вечером,давление ночью,врем€
15,20,7,0,50,60,70,50,760,750,760,750,01.05.2014 г.,Moscow
15,25,9,2,60,60,80,70,760,780,730,750,02.05.2014 г.,Moscow
7,12,11,9,50,65,87,70,720,744,735,757,03.05.2014 г.,Moscow
-1,16,9,3,55,75,57,62,711,724,737,627,04.05.2014 г.,Moscow
0,12,14,5,75,75,55,22,611,754,737,647,05.05.2014 г.,Moscow
0,12,14,5,75,65,87,70,720,744,735,757,06.05.2014 г.,Moscow
7,12,11,5,75,75,55,22,611,780,730,750,07.05.2014 г.,Moscow
8,15,16,4,49,52,54,57,720,760,712,790,08.05.2014 г.,Moscow
10,12,15,10,50,60,50,80,760,750,770,760,09.05.2014 г.,Moscow
15,16,17,11,55,46,56,69,710,750,740,770,10.05.2014 г.,Moscow
21,25,18,15,50,51,52,50,720,720,730,720,11.05.2014 г.,Moscow
18,21,19,15,60,62,64,60,770,760,750,710,12.05.2014 г.,Moscow
0,12,14,5,75,75,55,72,611,754,737,647,13.05.2014 г.,Saint-Petersburg
0,12,14,5,75,65,87,70,720,744,735,757,14.05.2014 г.,Moscow
7,12,11,5,75,75,55,27,611,780,730,750,15.05.2014 г.,Saint-Petersburg
0,12,14,5,75,65,87,70,720,744,735,757,16.05.2014 г.,Saint-Petersburg
7,12,11,5,75,75,55,72,611,780,730,750,17.05.2014 г.,Moscow
8,15,16,4,49,52,55,72,611,754,737,647,18.05.2014 г.,Saint-Petersburg
17,17,17,15,56,46,56,79,750,780,742,712,19.05.2014 г.,Saint-Petersburg
15,16,18,12,60,65,64,60,760,760,760,752,20.05.2014 г.,Moscow
15,16,18,12,60,56,66,79,750,780,742,712,21.05.2014 г.,Saint-Petersburg
16,15,12,11,50,65,65,50,750,770,830,720,22.05.2014 г.,Saint-Petersburg
21,22,24,18,30,35,45,19,770,740,760,800,23.05.2014 г.,Saint-Petersburg
19,18,15,20,37,39,45,50,760,820,700,710,24.05.2014 г.,Saint-Petersburg
16,15,12,25,40,30,45,35,450,760,840,800,25.05.2014 г.,Saint-Petersburg
21,24,25,19,48,47,27,40,750,760,780,700,26.05.2014 г.,Saint-Petersburg
15,16,18,12,60,56,66,79,750,770,830,720,27.05.2014 г.,Saint-Petersburg
19,18,15,19,48,47,45,35,450,760,840,800,28.05.2014 г.,Saint-Petersburg
22,20,19,15,45,50,56,57,760,760,740,710,29.05.2014 г.,Saint-Petersburg
21,24,25,19,48,47,27,40,750,760,780,700,30.05.2014 г.,Saint-Petersburg
15,16,18,12,60,56,66,79,750,770,830,720,31.05.2014 г.,Saint-Petersburg
